block,head,n,n_images,frac,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_range,cosine_mean
13,4,22,22,1.0000,0.941601,0.015729,0.912657,0.980946,0.068289,0.985310
13,5,22,22,1.0000,0.665350,0.041650,0.576087,0.738407,0.162320,0.986981
13,6,22,22,1.0000,1.069905,0.022587,1.019942,1.098100,0.078158,0.997727
13,7,22,22,1.0000,0.878698,0.065787,0.740400,1.016357,0.275957,0.930486
13,8,9,22,0.4091,0.514596,0.058187,0.458128,0.636188,0.178060,0.914477
13,9,22,22,1.0000,1.156759,0.043429,1.066325,1.238371,0.172046,0.926478
13,10,22,22,1.0000,1.298894,0.023723,1.253111,1.344554,0.091443,0.931690
13,11,19,22,0.8636,0.894759,0.031136,0.828241,0.955660,0.127419,0.913946
13,12,22,22,1.0000,0.933481,0.023531,0.873495,0.970650,0.097155,0.946253
13,14,22,22,1.0000,1.004702,0.029564,0.937702,1.057005,0.119303,0.947795
13,15,22,22,1.0000,1.292983,0.043911,1.232009,1.386605,0.154596,0.996062
14,1,22,22,1.0000,0.884125,0.025770,0.826762,0.940043,0.113281,0.997011
14,2,22,22,1.0000,1.110044,0.031597,1.011657,1.146010,0.134353,0.961090
14,4,22,22,1.0000,1.124220,0.028119,1.059750,1.160459,0.100709,0.975446
14,7,22,22,1.0000,0.645710,0.013393,0.624101,0.669158,0.045057,0.960810
14,8,7,22,0.3182,0.975003,0.030192,0.939502,1.026076,0.086574,0.906078
14,11,12,22,0.5455,1.360662,0.042477,1.275456,1.413353,0.137897,0.907260
14,12,13,22,0.5909,1.106307,0.057728,1.005464,1.188350,0.182886,0.908790
14,14,22,22,1.0000,1.082698,0.039676,0.976353,1.126454,0.150101,0.956186
15,0,22,22,1.0000,1.097077,0.030124,1.005770,1.131490,0.125720,0.987479
15,1,22,22,1.0000,0.941333,0.021818,0.877662,0.971451,0.093789,0.967374
15,2,22,22,1.0000,0.826381,0.016313,0.801457,0.871470,0.070013,0.989150
15,3,22,22,1.0000,0.984380,0.011502,0.959071,1.003680,0.044609,0.985490
15,4,22,22,1.0000,1.011324,0.013531,0.991977,1.041942,0.049965,0.998954
15,5,22,22,1.0000,1.086643,0.016488,1.046070,1.103700,0.057630,0.989328
15,7,22,22,1.0000,0.834065,0.019379,0.778120,0.871753,0.093633,0.959594
15,8,22,22,1.0000,1.100761,0.022699,1.043262,1.139697,0.096435,0.971621
15,9,22,22,1.0000,0.962852,0.018973,0.915702,0.999025,0.083323,0.987805
15,10,22,22,1.0000,0.862612,0.015030,0.834878,0.888636,0.053758,0.987579
15,11,22,22,1.0000,0.873302,0.030041,0.790650,0.905736,0.115086,0.982050
15,12,22,22,1.0000,1.087987,0.016741,1.054941,1.113023,0.058082,0.997792
15,13,16,22,0.7273,0.758453,0.100657,0.619627,0.941498,0.321871,0.929140
15,14,22,22,1.0000,0.872548,0.083885,0.726215,1.018187,0.291972,0.966482
