block,head,n,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_range,cosine_mean
6,3,22,1.056259,0.038973,0.964309,1.125302,0.160993,0.919839
6,4,22,1.220294,0.021663,1.192950,1.282094,0.089144,0.983655
6,5,22,0.743079,0.039705,0.623096,0.793133,0.170037,0.974830
6,6,22,0.954562,0.012876,0.925100,0.982496,0.057396,0.994125
6,7,22,1.021997,0.017001,0.993312,1.055985,0.062673,0.997321
6,8,22,0.733585,0.006884,0.717183,0.744637,0.027454,0.992666
6,9,22,0.950574,0.013393,0.926343,0.981951,0.055608,0.998187
6,10,22,1.022803,0.034100,0.966035,1.083183,0.117148,0.919668
6,11,22,1.039395,0.029580,0.996139,1.084530,0.088391,0.946665
6,12,22,0.950553,0.013570,0.926496,0.980697,0.054201,0.997557
6,13,22,2.006857,0.313528,1.444355,2.532017,1.087662,0.736350
6,14,22,0.808354,0.053988,0.732324,0.951411,0.219087,0.959465
6,15,22,0.998236,0.026405,0.965203,1.057734,0.092531,0.983404
7,0,22,1.043839,0.012380,1.011995,1.063163,0.051168,0.994880
7,1,22,1.003911,0.020779,0.967382,1.065243,0.097861,0.987895
7,2,22,1.006019,0.020250,0.957183,1.043515,0.086332,0.996693
7,3,22,0.905023,0.026985,0.844088,0.947669,0.103582,0.979846
7,4,22,0.560412,0.066097,0.432433,0.656483,0.224050,0.926274
7,5,22,1.137127,0.040098,1.082070,1.218770,0.136700,0.906714
7,6,22,0.965338,0.023894,0.916247,1.000259,0.084012,0.979835
7,7,22,1.298496,0.030744,1.248933,1.378323,0.129390,0.982657
7,8,22,0.994126,0.029217,0.923729,1.037613,0.113884,0.996579
7,9,22,0.954719,0.015047,0.907572,0.983777,0.076205,0.998281
7,10,22,1.009768,0.005295,1.000580,1.022059,0.021479,0.999177
7,11,22,0.946639,0.020901,0.912551,0.997587,0.085036,0.997759
7,12,22,0.984515,0.012776,0.955830,1.001456,0.045626,0.994038
7,13,22,0.873446,0.015167,0.848495,0.901570,0.053075,0.989800
7,14,22,0.796448,0.048528,0.647166,0.869387,0.222221,0.980249
7,15,22,-0.165440,0.345433,-1.088929,0.281624,1.370553,0.548312
8,0,22,1.211910,0.028894,1.165166,1.289471,0.124305,0.982695
8,1,22,0.870992,0.017220,0.831511,0.906722,0.075211,0.976463
8,2,22,0.697800,0.045239,0.616152,0.778937,0.162785,0.875502
8,3,22,0.832044,0.017549,0.796283,0.857770,0.061487,0.989444
8,4,22,1.025850,0.036629,0.946039,1.113280,0.167241,0.998461
8,5,22,1.112811,0.031606,1.039931,1.163032,0.123102,0.968979
8,6,22,1.126701,0.029765,1.067998,1.187469,0.119471,0.985786
8,7,22,1.173077,0.019930,1.143079,1.213942,0.070863,0.995233
8,8,22,0.971191,0.008732,0.954466,0.986082,0.031616,0.996289
8,9,22,0.987118,0.016437,0.960077,1.019336,0.059259,0.993715
8,10,22,0.966481,0.014428,0.939417,0.997123,0.057706,0.994142
8,11,22,1.092413,0.025506,1.049538,1.136286,0.086748,0.992074
8,12,22,1.040455,0.024278,1.003261,1.094392,0.091131,0.963203
8,13,22,0.974696,0.018532,0.946845,1.012219,0.065374,0.993281
8,14,22,1.120434,0.027613,1.055510,1.167908,0.112398,0.980357
8,15,22,1.028027,0.122734,0.705718,1.201797,0.496079,0.508010
9,0,22,0.948029,0.050158,0.864517,1.041793,0.177276,0.983256
9,1,22,0.187246,0.116296,-0.052780,0.401373,0.454153,0.659576
9,2,22,0.751174,0.023439,0.718882,0.815177,0.096295,0.979913
9,3,22,1.054060,0.015663,1.013701,1.073122,0.059421,0.995513
9,4,22,1.134003,0.028071,1.080791,1.190803,0.110012,0.993998
9,5,22,1.154451,0.018468,1.112957,1.192958,0.080001,0.992190
9,6,22,1.113662,0.016980,1.085671,1.142112,0.056441,0.995013
9,7,22,0.925417,0.019900,0.893311,0.964273,0.070961,0.998247
9,8,22,0.159952,0.255419,-0.437466,0.573703,1.011169,0.649242
9,9,22,1.005198,0.021039,0.946534,1.031041,0.084507,0.994962
9,10,22,0.880480,0.015117,0.853426,0.909396,0.055970,0.995980
9,11,22,0.751932,0.021873,0.693839,0.781327,0.087489,0.992984
9,12,22,1.056928,0.028576,1.010159,1.139117,0.128958,0.887571
9,13,22,0.803752,0.022535,0.767512,0.857758,0.090246,0.985972
9,14,22,1.048920,0.019315,1.014057,1.091135,0.077078,0.996457
9,15,22,0.954836,0.012801,0.931192,0.986804,0.055612,0.998907
10,0,22,0.610968,0.026936,0.556159,0.653905,0.097747,0.943672
10,1,22,0.985124,0.012506,0.956546,1.004581,0.048035,0.997533
10,2,22,0.843781,0.023263,0.800763,0.899912,0.099149,0.987978
10,3,22,0.677087,0.061150,0.527621,0.759428,0.231807,0.969989
10,4,22,0.925341,0.009086,0.903006,0.944010,0.041004,0.999192
10,5,22,1.027066,0.020299,0.983077,1.059952,0.076875,0.998375
10,6,22,0.965316,0.016633,0.936749,0.998911,0.062162,0.992342
10,7,22,0.817364,0.014561,0.786749,0.846611,0.059862,0.999071
10,8,22,1.046516,0.017507,1.021169,1.078457,0.057288,0.994753
10,9,22,0.999606,0.022692,0.953798,1.049262,0.095463,0.980888
10,10,22,0.958106,0.013811,0.922351,0.975320,0.052970,0.984397
10,11,22,0.968562,0.014085,0.948035,0.992156,0.044121,0.996801
10,12,22,0.678710,0.014158,0.652057,0.713193,0.061136,0.983526
10,13,22,1.041926,0.008738,1.022398,1.056409,0.034011,0.997775
10,14,22,0.759911,0.048649,0.589597,0.810114,0.220517,0.939249
10,15,22,1.051838,0.024115,1.005730,1.109766,0.104036,0.992933
11,0,22,1.019636,0.009243,1.004918,1.040829,0.035911,0.999477
11,1,22,1.099736,0.026042,1.048646,1.139950,0.091304,0.999369
11,2,22,1.093515,0.023960,1.031627,1.127055,0.095428,0.994716
11,3,22,1.673815,0.149211,1.508095,2.073420,0.565325,0.841923
11,4,22,0.680883,0.035360,0.612155,0.743801,0.131646,0.953176
11,5,22,1.245329,0.036012,1.196581,1.327315,0.130734,0.983155
11,6,22,1.058166,0.017261,1.030960,1.089085,0.058125,0.866677
11,7,22,0.874894,0.019914,0.849229,0.931106,0.081877,0.908622
11,8,22,0.970569,0.027941,0.921867,1.039248,0.117381,0.990913
11,9,22,0.852084,0.039624,0.756685,0.904453,0.147768,0.995624
11,10,22,0.650750,0.088643,0.471638,0.817821,0.346183,0.795035
11,11,22,0.820171,0.012627,0.779900,0.838266,0.058366,0.996406
11,12,22,0.505958,0.033304,0.446706,0.586743,0.140037,0.900924
11,13,22,1.105182,0.034877,1.034210,1.173929,0.139720,0.999023
11,14,22,1.196816,0.031240,1.162715,1.281404,0.118689,0.991747
11,15,22,1.066339,0.023731,1.015680,1.115729,0.100049,0.999012
12,0,22,1.202868,0.017340,1.169060,1.239040,0.069980,0.987687
12,1,22,1.097095,0.020518,1.062405,1.144145,0.081740,0.989433
12,2,22,1.841272,0.098319,1.661404,2.123985,0.462581,0.915252
12,3,22,1.089827,0.006468,1.073984,1.099586,0.025602,0.999756
12,4,22,1.376542,0.033221,1.324958,1.446330,0.121372,0.972689
12,5,22,1.202363,0.049398,1.098320,1.336013,0.237693,0.895926
12,6,22,2.363783,0.368789,2.068148,3.844144,1.775996,0.891131
12,7,22,0.909811,0.030634,0.854879,0.963558,0.108679,0.971121
12,8,22,0.970506,0.034925,0.914745,1.047327,0.132582,0.926230
12,9,22,1.177495,0.015240,1.142870,1.202505,0.059635,0.998721
12,10,22,0.816070,0.036459,0.735217,0.860439,0.125222,0.995529
12,11,22,1.191456,0.051703,1.119776,1.295149,0.175373,0.938188
12,12,22,1.371652,0.023470,1.334128,1.417027,0.082899,0.978986
12,13,22,0.974320,0.028787,0.925255,1.035346,0.110091,0.854756
12,14,22,1.118227,0.027457,1.070229,1.163205,0.092976,0.956868
12,15,22,0.944890,0.074935,0.840932,1.100521,0.259589,0.737358
13,0,22,0.865105,0.023091,0.824733,0.917586,0.092853,0.935435
13,1,22,1.050070,0.035088,0.967457,1.104445,0.136987,0.945497
13,2,22,1.472238,0.069717,1.378057,1.608015,0.229958,0.850223
13,3,22,1.066229,0.030054,1.004448,1.120681,0.116233,0.937027
13,4,22,0.941601,0.015729,0.912657,0.980946,0.068288,0.985310
13,5,22,0.665350,0.041650,0.576087,0.738407,0.162320,0.986981
13,6,22,1.069905,0.022587,1.019942,1.098100,0.078158,0.997727
13,7,22,0.878698,0.065787,0.740400,1.016357,0.275957,0.930486
13,8,22,0.458060,0.062442,0.389385,0.636188,0.246804,0.895902
13,9,22,1.156760,0.043429,1.066325,1.238371,0.172046,0.926478
13,10,22,1.298894,0.023723,1.253111,1.344554,0.091444,0.931690
13,11,22,0.890131,0.032487,0.828241,0.955660,0.127418,0.910406
13,12,22,0.933481,0.023531,0.873495,0.970650,0.097155,0.946253
13,13,22,0.925051,0.038534,0.873121,1.029923,0.156802,0.806352
13,14,22,1.004702,0.029564,0.937702,1.057005,0.119303,0.947795
13,15,22,1.292983,0.043911,1.232009,1.386605,0.154596,0.996063
14,0,22,0.979946,0.045930,0.866140,1.071538,0.205398,0.752145
14,1,22,0.884125,0.025770,0.826762,0.940043,0.113281,0.997011
14,2,22,1.110044,0.031597,1.011657,1.146010,0.134352,0.961090
14,3,22,1.068724,0.040530,0.986284,1.138257,0.151973,0.746796
14,4,22,1.124220,0.028119,1.059750,1.160459,0.100709,0.975446
14,5,22,0.239279,0.088350,0.126582,0.486369,0.359787,0.487425
14,6,22,0.978336,0.063410,0.842771,1.070355,0.227584,0.735582
14,7,22,0.645710,0.013393,0.624101,0.669158,0.045057,0.960810
14,8,22,0.978969,0.036400,0.860336,1.026076,0.165740,0.893308
14,9,22,2.294334,0.235681,1.998696,2.843307,0.844611,0.461319
14,10,22,-0.077174,0.100488,-0.224301,0.179557,0.403858,0.077779
14,11,22,1.358996,0.038609,1.275456,1.416702,0.141247,0.898319
14,12,22,1.096475,0.059362,0.954029,1.188350,0.234321,0.902326
14,13,22,1.363838,0.064464,1.267296,1.487741,0.220445,0.743985
14,14,22,1.082698,0.039676,0.976353,1.126454,0.150101,0.956186
14,15,22,1.953717,0.129299,1.685319,2.126589,0.441270,0.787907
15,0,22,1.097077,0.030124,1.005770,1.131490,0.125720,0.987479
15,1,22,0.941333,0.021818,0.877662,0.971451,0.093789,0.967374
15,2,22,0.826381,0.016313,0.801457,0.871470,0.070013,0.989150
15,3,22,0.984380,0.011502,0.959071,1.003680,0.044609,0.985490
15,4,22,1.011324,0.013531,0.991977,1.041942,0.049966,0.998954
15,5,22,1.086643,0.016488,1.046070,1.103700,0.057630,0.989328
15,6,22,5.820138,3.038441,3.713355,17.322334,13.608979,0.625515
15,7,22,0.834065,0.019379,0.778120,0.871753,0.093634,0.959594
15,8,22,1.100761,0.022699,1.043262,1.139697,0.096435,0.971621
15,9,22,0.962852,0.018973,0.915702,0.999025,0.083323,0.987805
15,10,22,0.862612,0.015030,0.834878,0.888636,0.053758,0.987579
15,11,22,0.873302,0.030041,0.790650,0.905736,0.115086,0.982050
15,12,22,1.087987,0.016741,1.054941,1.113023,0.058082,0.997792
15,13,22,0.708686,0.122097,0.493120,0.941498,0.448377,0.916599
15,14,22,0.872548,0.083885,0.726215,1.018187,0.291972,0.966482
15,15,22,-0.093008,0.145496,-0.317297,0.258082,0.575379,0.117680
